uid,2AsIrTe3-1,2BrTl-1,1STa2Te2-1,2TeTl-2,2IPt-1,2BiPO4-1,2GaTe-1,2ISb-1,1PtTe2-1,2GeH-1,1BiFS2O6-1,1BiHS2O6-1,2Sb-1,2TeZn-1,2GaGeTe-1,2AlGeTe-1,2GeInSe-1,2CdTe-1,2PbSe-1,2PbTe-1,4HgTe-1,1SeSb2Te2-1,2AlGeTe3-1,2GaGeSe3-1,2AuCdITe-1,2AlGeSe3-1,2InSiTe-1,2GeInTe3-1,2GeInS-1,4HgSe-1
2AsIrTe3-1,0.0,0.6215,0.695,0.7675,0.628,0.8245,0.8355,0.816,0.7975,0.9075,0.931,0.9375,0.939,0.944,0.9475,0.9525,0.93,0.9505,0.957,0.895,0.884,0.875,0.962,0.9635,0.97,0.968,0.9625,0.9705,0.9385,0.912
2BrTl-1,0.3785,0.0,0.5215,0.7755,0.537,1.0,1.0,0.8465,0.7755,1.0,1.0,1.0,1.0,0.9995,0.999,1.0,0.988,0.9995,1.0,0.9525,0.961,0.8795,1.0,1.0,1.0,1.0,0.9965,0.9975,0.9825,0.9735
1STa2Te2-1,0.305,0.4785,0.0,0.5635,0.4575,0.632,0.641,0.6315,0.6075,0.693,0.714,0.7235,0.7185,0.728,0.7275,0.73,0.7205,0.734,0.7355,0.689,0.6785,0.6925,0.742,0.747,0.75,0.753,0.743,0.753,0.7205,0.6995
2TeTl-2,0.2325,0.2245,0.4365,0.0,0.4925,0.497,0.519,0.5735,0.6165,0.646,0.7165,0.7385,0.746,0.782,0.7935,0.8115,0.754,0.8055,0.8275,0.6965,0.694,0.743,0.872,0.8885,0.8875,0.91,0.8635,0.913,0.806,0.7605
2IPt-1,0.372,0.463,0.5425,0.5075,0.0,0.524,0.531,0.545,0.5625,0.5925,0.6085,0.612,0.6145,0.6235,0.6235,0.6265,0.601,0.62,0.625,0.592,0.578,0.642,0.634,0.64,0.6375,0.6435,0.63,0.639,0.624,0.608
2BiPO4-1,0.1755,0.0,0.368,0.503,0.476,0.0,0.681,0.5765,0.6345,0.991,0.999,1.0,0.999,0.9955,0.9875,0.9995,0.9175,0.997,0.999,0.7975,0.809,0.7615,1.0,1.0,1.0,1.0,0.97,0.993,0.8975,0.866
2GaTe-1,0.1645,0.0,0.359,0.481,0.469,0.319,0.0,0.5615,0.616,0.975,0.997,0.9965,0.9955,0.9925,0.987,1.0,0.9075,0.9955,0.9985,0.7785,0.793,0.7495,1.0,1.0,1.0,1.0,0.967,0.9935,0.8905,0.852
2ISb-1,0.184,0.1535,0.3685,0.4265,0.455,0.4235,0.4385,0.0,0.5265,0.555,0.616,0.6485,0.6525,0.689,0.6975,0.712,0.667,0.72,0.734,0.6105,0.604,0.6845,0.79,0.7975,0.8145,0.8285,0.786,0.8265,0.727,0.681
1PtTe2-1,0.2025,0.2245,0.3925,0.3835,0.4375,0.3655,0.384,0.4735,0.0,0.501,0.5665,0.5845,0.5845,0.6165,0.6275,0.6375,0.5905,0.6335,0.6545,0.549,0.548,0.6395,0.6865,0.6985,0.6985,0.71,0.6845,0.714,0.637,0.603
2GeH-1,0.0925,0.0,0.307,0.354,0.4075,0.009,0.025,0.445,0.499,0.0,0.7905,0.8335,0.842,0.9115,0.9025,0.9285,0.807,0.9475,0.9635,0.6585,0.6605,0.6375,0.98,0.984,0.988,0.992,0.914,0.979,0.817,0.748
