regime,B_median,sigma_ln_mass,spread_med,spread_p90,frac_gt_2x,kendall_tau,top10_retention,top20_retention
0.1,0.03231841171572326,0.2,0.3368786073871025,0.37001588941807845,0.9084880636604774,0.8491973749564077,0.71875,0.7625000000000001
0.25,0.07706030393207039,0.2,0.3254670110138176,0.36290347348209845,0.7824933687002652,0.8480666194637893,0.70625,0.7546875
0.5,0.14309369760955512,0.2,0.30683263041837305,0.3529486751079588,0.5742705570291777,0.8470485872601548,0.653125,0.7515624999999999
1,0.25036199615884247,0.2,0.2840607577162726,0.3380957139880327,0.3673740053050398,0.8446056622317097,0.65,0.721875
2,0.4004629464350504,0.2,0.24766680969091448,0.3252806883763539,0.22148541114058357,0.8404800338874386,0.609375,0.7171875000000001
4,0.5719004898843512,0.2,0.20813694388617354,0.3037518005679607,0.11007957559681697,0.838388268323699,0.6343749999999999,0.6921875
8,0.7276545923635817,0.2,0.17065997694955404,0.27575590182346643,0.05968169761273209,0.8346565110028497,0.6499999999999999,0.6859375
20,0.8697833982816829,0.2,0.13053999958637497,0.22995824551636246,0.033156498673740056,0.8296909620580453,0.6499999999999999,0.6734375
100,0.9709281501846061,0.2,0.10317101481243474,0.15462791633549194,0.027851458885941646,0.8232520845001954,0.646875,0.653125
ballistic,1.0,0.2,0.09159191816720469,0.10913106021409812,0.025198938992042442,0.8225341340209453,0.65625,0.6796875
