uid,row,has_gw_anchor
2ScF3-1,0,False
2FOY-1,1,False
2FOSc-1,2,False
2KTaF6-1,3,False
2ClFSr-1,4,False
2AlFO-1,5,False
2CaClF-1,6,False
2BaBrF-1,7,False
2BrFSr-1,8,False
2BrCaF-1,9,False
2ClOSc-1,10,False
2BrOY-1,11,False
1TiF2-1,12,False
1SrP2F12-1,13,False
2BaFI-1,14,False
2TiO2-1,15,False
2FISr-1,16,False
2CaGe2F6-1,17,False
2CaFI-1,18,False
2FSSc-1,19,False
2BrOSc-1,20,False
1BaSb2F12-1,21,False
2IOY-1,22,False
2FScSe-1,23,False
1TeNb3F7-1,24,False
1SrAs2F12-1,25,False
4IOSc-1,26,False
2WF2O2-1,27,False
4FNZr-1,28,False
2FHfN-1,29,False
1HfW2O8-1,30,False
1ZrW2O8-1,31,False
2FNZr-1,32,False
1CF2Sc2-1,33,False
1Ta2W2O11-1,34,False
1BaCl2-1,35,True
1CF2Y2-1,36,False
2ZrO3-1,37,False
1HfMo2O8-1,38,False
1ZrMo2O8-1,39,False
2SbScO3-1,40,False
1SrCl2-1,41,True
1CdIn2F8-1,42,False
1Nb2W2O11-1,43,False
2HfO3-1,44,False
2ClTaO2-1,45,False
1N2O2Zr3-1,46,False
1CaCl2-1,47,True
1N2O2Hf3-1,48,False
1ZnF2-1,49,False
2AlClO-1,50,False
2YCl3-1,51,False
2BrTaO2-1,52,False
1CHf2O2-1,53,False
2FNTi-1,54,False
1CO2Zr2-1,55,False
1CdF2-1,56,False
4VO2-1,57,False
2FGaO-1,58,False
2BrNbO2-1,59,False
2AlInO3-1,60,False
2AlSbO3-1,61,False
2BaClI-1,62,False
2ITaO2-1,63,False
1ZrH2P2O6-1,64,False
2TiO3-1,65,False
2ScCl3-1,66,False
1BaClI-1,67,False
2FPPbO3-1,68,False
1SrBr2Ca2S2-1,69,False
2AlBrO-1,70,False
2AlAsO3-1,71,False
1OSTi-1,72,False
1BiScCl2O2-1,73,False
1CaBr2-1,74,True
2INbO2-1,75,False
1OZrBr2-1,76,False
1CO2Ti2-1,77,False
2ClSSc-1,78,False
4CaTeO3-1,79,False
1WO2-1,80,True
2BrSY-2,81,False
2CaF2O2H4-1,82,False
4SrTeO3-1,83,False
2MgTeWO6-1,84,False
1WMo3O8-1,85,False
2WZnO4-1,86,False
1MoO2-1,87,True
2YBr3-1,88,False
1OScHf3N3Br4-1,89,False
2MgMoTeO6-1,90,False
1ClBr3S4Sc4-1,91,False
2SrSb2O4-1,92,False
2CaSb2O4-1,93,False
2ClScSe-1,94,False
2ClScBr2-1,95,False
1CrMo3O8-1,96,False
4CaSeO3-1,97,False
2TlF3-1,98,False
2BaSb2O4-1,99,False
1MgCl2-1,100,True
2ClNZr-1,101,False
4BSbO3-1,102,False
2PSbO4-1,103,False
4BBiO3-1,104,False
2ClHfN-1,105,False
2ClCs-1,106,False
2BiPO4-1,107,False
2MoZnO4-1,108,False
2NbF2Se2-1,109,False
1PbSrS2O8-1,110,False
4BiFSrS2-1,111,False
4BaBiFS2-1,112,False
4FSbSrS2-1,113,False
1BaI2-1,114,False
1BaH2O2-1,115,False
2AlHSO4-1,116,False
2BrIS2Sc2-1,117,False
4BaBiFSe2-1,118,False
2ScBr3-1,119,False
1MgH2O2-1,120,False
2FSi-1,121,True
2SrBi2O4-1,122,False
4FSbSrSe2-1,123,False
2CaBi2O4-1,124,False
4FPSrS2-1,125,False
2BrScSe-1,126,False
2BaBi2O4-1,127,False
2MgCl2-1,128,False
4BaFPS2-1,129,False
1SrI2-1,130,False
2HSLi3O4-1,131,False
2CKSF3O3-1,132,False
2BrNZr-1,133,False
1ZnRe2O8-1,134,False
1ZrCl2-1,135,True
4AsFSrSe2-1,136,False
2BrHfN-1,137,False
2ClPSnO3-1,138,False
1CrO2-2,139,True
1ZrK2H6O6-1,140,False
1HfNa2H6O6-1,141,False
2HTeLi3O4-1,142,False
2ISSc-1,143,False
2ZrCl2-1,144,False
2TeWZnO6-1,145,False
1ZrNa2H6O6-1,146,False
1CaI2-1,147,True
1CdF2O2Pb2-1,148,False
4BaFPSe2-1,149,False
4FPSrSe2-1,150,False
2GaInO3-1,151,False
2OTaBr2-1,152,False
2HP3O6-1,153,False
2AlHSeO4-1,154,False
4AsLiO2-2,155,False
2WAs2O6-1,156,False
2HPSb2O6-1,157,False
2MoSb2O6-1,158,False
2ClMoO2-1,159,False
2ClScTe-1,160,False
2HSeLi3O4-1,161,False
2GaSbO3-1,162,False
1SSeI2Sc2-1,163,False
2BLiH4O4-1,164,False
1HfS2-1,165,True
1NbOScSeBr4-1,166,False
1BrHfZr3Cl7-1,167,False
1CCl2Y2-1,168,False
1ZrS2-1,169,True
1CCl2Sc2-1,170,False
2HLiO-1,171,False
4BaFSbTe2-1,172,False
2ClNTi-1,173,False
1GeO2-1,174,True
1MgLi2S2H4O8-1,175,False
2BNaH4O4-1,176,False
4NaSbO2-1,177,False
2HSNa3O4-1,178,False
1SnO2-1,179,True
2HPPbO3-1,180,False
2SrPb2Cl6-1,181,False
2MoCl2O2-1,182,False
2SrCl2O2H4-1,183,False
1HgF2-1,184,False
2IScSe-1,185,False
1MgNa2S2H4O8-1,186,False
1HfCl2-1,187,True
1TiCl2-1,188,True
2CaClH-1,189,False
1MgBr2-1,190,True
2ClGaO-1,191,False
2HPAs2O6-1,192,False
2AlCl3-1,193,False
2ClKF4-1,194,False
2AsFPbO3-1,195,False
4AsBaFTe2-1,196,False
2CHNaO3-1,197,False
2CdFSbO2-1,198,False
1BrClZr-1,199,True
4AsFSrTe2-1,200,False
2SCl2Se2Zr2-1,201,False
2MoCd2O4-1,202,False
1BrClN2Ti2-1,203,False
2BrClZr-1,204,False
2GeZnO3-1,205,False
2SrSn2Cl6-1,206,False
1MgLi2Te2H4O8-1,207,False
1SSeZr-1,208,True
2GeHPO3-1,209,False
2YI3-1,210,False
1HfSSe-1,211,True
2FGaSe-1,212,False
2InSbO3-1,213,False
2BrScTe-1,214,False
2AgPO3-1,215,False
1MgK2Te2H4O8-1,216,False
2HfIN-1,217,False
2GaO-1,218,True
4ReO2-1,219,False
2CaBr2O2H4-1,220,False
1ClIMg-1,221,False
1MgLi2Se2H4O8-1,222,False
2BrNTi-1,223,False
4BiNaO2-1,224,False
1MgK2Se2H4O8-1,225,False
2FInS-1,226,False
2ZrS2-2,227,False
1GeLi2H6O6-1,228,False
1Br2Zr2S3-1,229,False
1ClZr2Br5-1,230,False
2CaF2S2H4-1,231,False
1HfZr3S8-1,232,False
1BiFS2O6-1,233,False
2BrCaH-1,234,False
1Br2Hf2S3-1,235,False
1ZrSe2-1,236,True
1GeK2H6O6-1,237,False
1SnK2H6O6-1,238,False
2BrGaO-1,239,False
2HNaO-1,240,False
1GeNa2H6O6-1,241,False
2HKO-1,242,False
1OSW-1,243,False
1HfSe2-1,244,True
2HPSeO5-1,245,False
2ZrBr2-1,246,False
1ZrBr2-1,247,True
1BrClHf-1,248,True
2FGaTe-1,249,False
4BaClSbS2-1,250,False
1TiZr3S8-1,251,False
4BaBiClS2-1,252,False
1CBr2Sc2-1,253,False
1BrClTi-1,254,True
2BrClHf-1,255,False
2HInSO4-1,256,False
2ZnAs2O4-1,257,False
2MoHg2O4-1,258,False
2SrI2O2H4-1,259,False
4BaClSbSe2-1,260,False
1BiFSe-1,261,False
4OSn-1,262,False
2AsSbO3-1,263,False
1PdN2Zr3Br6-1,264,False
2CaI2O2H4-1,265,False
1BN-1,266,True
4AlClS-1,267,False
1ClIHf2Br4-1,268,False
2AsHSb2O6-1,269,False
2FInTe-1,270,False
2AsBiO3-1,271,False
2IScTe-1,272,False
2ZrS3-1,273,False
2BaHI-1,274,False
2AsBiO4-1,275,False
1Al2Mg2S5-1,276,False
2ClIZr-1,277,False
4AgF2-2,278,False
1ClIZr-1,279,True
1CdCl2O2Pb2-1,280,False
1TiZrHf2Br8-1,281,False
1CdCl2O2Sn2-1,282,False
2HISr-1,283,False
2HfZrSe4-1,284,False
2SbTlO3-1,285,False
1BiFTe-1,286,False
1ClIGe2O3-1,287,False
1ZrHf3Se8-1,288,False
1PbNa2H6O6-1,289,False
2GeO-1,290,False
1BiHS2O6-1,291,False
4AsClSrSe2-1,292,False
1MgAl2S4-1,293,False
2CoSbO3-1,294,False
2Bi2O3-2,295,False
2BiFHgO2-1,296,False
2HInSeO4-1,297,False
1MoOSe-1,298,True
4AlClSe-1,299,False
2AlClSe-1,300,False
2BiCdClO2-1,301,False
1PbCl2-1,302,True
1GeOBr2I2Zr2Se3-1,303,False
2HfBr2-1,304,False
1GeHfCl2S2-1,305,False
1ZnH2O2-1,306,False
1HfBr2-1,307,True
4OPb-1,308,False
2CaHI-1,309,False
