uid,id,A,A_u,E_B,J,J_u,N_nn,N_nn_u,P_spontaneous_norm,alphax,alphax_el,alphax_lat,alphay,alphay_el,alphay_lat,alphaz,alphaz_el,alphaz_lat,cbm,cbm_gw,cbm_hse,cbm_u,cod_id,dE_zx,dE_zx_u,dE_zy,dE_zy_u,dipz,efermi,efermi_gw,efermi_hse,efermi_u,ehull,emass_cbm,emass_vbm,evac,evacdiff,gap,gap_dir,gap_dir_gw,gap_dir_hse,gap_dir_nosoc,gap_dir_u,gap_gw,gap_hse,gap_u,halfmetal_gap,halfmetal_gap_dir,halfmetal_gap_dir_hse,halfmetal_gap_hse,has_inversion_symmetry,hform,icsd_id,is_ferroelectric,is_magnetic,is_magnetic_u,lam,lam_u,lgnum,magmom_u,minhessianeig,number,plasmafrequency_x,plasmafrequency_y,spin,spin_u,thickness,vbm,vbm_gw,vbm_hse,vbm_u,bravais_search,bravais_type,doi,dyn_stab,folder,international,label,layergroup,olduid,spin_axis,spin_axis_u,topology,formula,natoms,base_uid,magstate,stoich,folder_tree,magstate_tree,cbm_m_dos_file,cbm_min_emass,cbm_max_emass,cbm_warping,cbm_barrier,cbm_m_dos_check,cbm_m_cond,cbm_anisotropy,vbm_m_dos_file,vbm_min_emass,vbm_max_emass,vbm_warping,vbm_barrier,vbm_m_dos_check,vbm_m_cond,vbm_anisotropy,c_11,c_12,c_22,speed_of_sound_x,C_2D,has_defpot,cbm_rel,cbm_ratio,cbm_parabolic,vbm_rel,vbm_ratio,vbm_parabolic,parabolic,formula_reduced,formula_cell,natoms_cell,comp_key,E_mean,E_sd,eps_ch,t_ch_m,I_ON,I_OFF,on_off,SS,DIBL,tau,EDP,spr_gap_I_ON,spr_mass_I_ON,spr_eps_I_ON,spr_gap_on_off,spr_mass_on_off,spr_eps_on_off
2ScF3-1,12246,,,,,,,,,1.8068623220242968,0.4436397895229091,1.3632225325013876,1.8022521750708187,0.4436397895229158,1.3586123855479029,0.2681544715660925,0.16866977007713638,0.09948470148895613,-3.372502427817619,,-2.062504820585062,,,0.0,,0.0,,1.252533013546616e-13,-6.814470781344475,,-7.074904750373769,,0.08486093492017499,7.649216814837044,7.96574560415038,2.059457782453091,8.439485603956882e-13,6.883936707053714,6.887247749059654,,10.028974142183134,6.889119474801266,,,10.024799859577415,,,,,,1.0,-4.016700746541569,,,0.0,,,,71.0,,-1.8605055703307184e-15,162.0,,,,,2.167377571111702,-10.256439134871332,,-12.087304680162477,,Hexagonal,Hexagonal (hp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/AB3/ScF3/Sc2F6-a28c0475e7ac,P-31m,Lyngby22_LDP,p-31m,Sc2F6-5b2b0a9e3372,z,,,F6Sc2,8,2ScF3,1,AB3,2ScF3,1,7.649216814837044,5.904706483088766,9.90913232486008,0.0007003676224374073,False,7.649216814837044,7.3999132773473555,1.6781752578625362,7.96574560415038,5.470830556389709,11.491233364878587,-0.01788068154604266,False,7.928845478579004,7.412610978827394,2.100454994252617,37.0772703042177,26.704172443761813,36.47776082577083,5422.95212858593,36.77751556499426,False,0.0,1.0,True,0.004632350492356881,0.9953676495076431,True,True,ScF3,Sc2F6,8,F3-Sc1,12.914349,0.30708548,3.5722061945864323,2.1673775711117022e-10,454.7493024041897,0.1,4547.493024041896,69.86947517811309,2.2538273069501486e-05,9.87153405271555e-13,2.880412547814664e-22,0.0002837733342349047,0.07430643321147867,2.5134959713568605e-07,0.0002837733342349047,0.07430643321147867,2.5134959713568605e-07
2FOY-1,7418,,,,,,,,,6.53112870227963,1.2648910840989498,5.26623761818068,6.527220504376287,1.2648910840989487,5.2623294202773385,0.5242671057015721,0.35418597140432245,0.1700811342972496,-1.5962063906427775,,-1.3077128827486497,,,0.0,,0.0,,1.874727214690783e-08,-4.182860134872973,,-4.671152490218399,,0.0,0.7743407970715573,2.179736314683004,2.1739078606963833,2.864718116469709e-07,5.17330748846039,5.235397673252875,,7.0055446383298525,5.23873597571387,,,6.726879214939499,,,,,,1.0,-3.922924506587299,,,0.0,,,,72.0,,-4.754874353088807e-16,164.0,,,,,5.161910444151374,-6.769513879103168,,-8.034592097688149,,Hexagonal,Hexagonal (hp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/FOY/F2O2Y2-92e62d0c6c86,P-3m1,Lyngby22_LDP,p-3m1,F2O2Y2-b0d587fc1aab,z,,,O2F2Y2,6,2FOY,1,ABC,2FOY,1,0.7743407970715573,0.7743106299132174,0.7743709654052102,1.5211552617281624e-05,False,0.7743407970715572,0.7743407964839006,1.0000779215597229,2.179736314683004,2.179456148831889,2.1800165165490233,-9.56686278840798e-05,False,2.179736314683004,2.1797362966755522,1.0002571135544225,123.12414941169952,43.58395612589666,122.73993210622737,5952.503592096576,122.93204075896344,False,1.4337653767228284e-16,0.9999999999999999,True,0.0,1.0,True,True,YOF,Y2O2F2,6,F1-O1-Y1,8.867465,0.2731067,4.079303742589267,5.161910444151375e-10,1379.0470346541183,0.1,13790.470346541182,69.88518077772757,0.02112993515962638,3.2551995046764405e-13,9.498338808172147e-23,4.564636581161352e-05,0.0780137049206453,0.0002063271988999027,4.564636581161352e-05,0.07801370492064574,0.0002063271989003468
2FOSc-1,6800,,,,,,,,,5.7517562645490425,1.2322786373156356,4.519477627233407,6.857354175198877,1.1103074477471595,5.747046727451718,0.41898884435609474,0.2858040966277605,0.13318474772833425,-3.1001014145809935,,-1.9406848966539938,,,0.0,,0.0,,5.890710135283223e-07,-5.409900199985069,,-5.433568222700197,,0.04293708398124233,1.5795053931030756,0.8763730472174913,2.9331303718936974,8.219146194997687e-06,4.619597570808152,4.707442826657999,,6.9857666520924075,4.708448806371596,,,6.9857666520924075,,,,,,1.0,-3.8068253846862246,,,0.0,,,,46.0,,-2.1582314083589777e-12,59.0,,,,,4.517830110882997,-7.719698985389146,,-8.926451548746401,,Rectangular,Rectangular (op),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/FOSc/F2O2Sc2-9d498642175c,Pmmn,Lyngby22_LDP,pmmn,F2O2Sc2-30923389f9f6,z,,,O2F2Sc2,6,2FOSc,1,ABC,2FOSc,1,1.5795053931030756,1.375494713767685,1.813774536441489,0.00010444393372300935,False,1.5795053931030756,1.5645197009804508,1.3186343199191877,0.8763730472174913,0.5151113457393653,1.5173761776638544,-0.003190678933434348,False,0.8840914459880733,0.769124214411445,2.945724628693409,126.22007674533147,30.360879408945777,143.2516015110806,7851.59253699982,134.73583912820604,False,0.0,1.0,True,0.008807206925279289,1.0088072069252794,True,True,ScOF,Sc2O2F2,6,F1-O1-Sc1,8.957548,0.28589594,4.25795838028826,4.517830110882997e-10,961.9541979755114,0.1,9619.541979755113,69.87911465321103,0.012977422624157813,4.666618466429188e-13,1.361671480317547e-22,6.863562192505057e-05,0.08899261888812138,0.00010425588932294616,6.863562192505057e-05,0.08899261888812182,0.00010425588932294616
2ClFSr-1,7569,,,,,,,,,4.853505456021168,1.0428467969648973,3.8106586590562705,4.873355295367537,1.0428467969648967,3.8305084984026405,0.583342668777939,0.3836743802933628,0.19966828848457624,-1.9283607421037803,,-1.6354329742363083,,,0.0,,0.0,,-1.720182824829038e-07,-4.933085253612013,,-5.310997720097917,,0.03361479903361383,0.4874539381402104,6.387158468038598,2.2453405050018347,-1.946795613003143e-06,6.009449023016467,6.019059041634655,,7.351129491723217,6.0668762845742155,,,7.351129491723217,,,,,,1.0,-3.278448328917479,,,0.0,,,,64.0,,-1.1786537795453918e-12,129.0,,,,,5.44040223747953,-7.937809765120247,,-8.986562465959526,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/ClFSr/Cl2F2Sr2-43757600ed5f,P4/nmm,Lyngby22_LDP,p4/nmm,Cl2F2Sr2-580abbd38b25,z,,,F2Cl2Sr2,6,2ClFSr,1,ABC,2ClFSr,1,0.4874539381402104,0.48745393811485505,0.4874539381655658,0.00019693693109308744,False,0.48745393814021043,0.48745393814021043,1.000000000104032,6.387158468038598,5.767923168909459,7.072873909925959,-0.0004740935304250484,False,6.387158468038598,6.354090489145415,1.2262427398566105,64.33735057520587,10.331637563881332,64.78766929390811,4669.294299619461,64.562509934557,False,1.138797881971172e-16,1.0000000000000002,True,0.0,1.0,True,True,SrClF,Sr2Cl2F2,6,Cl1-F1-Sr1,9.7789955,0.2751458,3.4087923599431424,5.44040223747953e-10,1768.5666709154955,0.1,17685.666709154953,69.87733467538838,0.010585237717255903,2.5382550163109426e-13,7.406368209330461e-23,5.530914564211287e-05,0.08371775705405371,9.411513032686614e-05,5.530914564211287e-05,0.08371775705405327,9.411513032731023e-05
2AlFO-1,7256,,,,,,,,,2.4086255608564646,0.6767443147463316,1.7318812461101332,3.3487356889659354,0.6969432739288088,2.651792415037127,0.37778266426154994,0.25662137192367157,0.12116129233787838,-2.2551904931866815,,-1.8122945071410226,,,0.0,,0.0,,2.0618012804716094e-07,-5.091515686921946,,-5.5378495544641115,,0.014762832652935506,0.5259697368257665,0.9130973340762589,3.066384878271861,3.529824481724331e-06,5.6726503874705285,5.6726503874705285,,7.451110094646179,5.672837009721267,,,7.451110094646179,,,,,,1.0,-3.2482722534552515,,,0.0,,,,46.0,,-6.363648775667202e-13,59.0,,,,,4.065547337725807,-7.92784088065721,,-9.263404601787201,,Rectangular,Rectangular (op),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/AlFO/Al2F2O2-21840fc92559,Pmmn,Lyngby22_LDP,pmmn,Al2F2O2-500829d16325,z,,,O2F2Al2,6,2AlFO,1,ABC,2AlFO,1,0.5259697368257665,0.49477877526480896,0.5591269833846535,0.00012338258345923614,False,0.5259697368257665,0.5249884285879116,1.1300545038242695,0.9130973340762589,0.561275007779351,1.4854513918156402,-0.0011697285586927462,False,0.913097334076259,0.8147124517103548,2.6465660705128036,176.56242430622618,44.619515116705166,189.12299186216998,9521.715425207885,182.84270808419808,False,0.0,1.0,True,1.2158868317673067e-16,1.0000000000000002,True,True,AlOF,Al2O2F2,6,Al1-F1-O1,9.8071995,0.26752478,3.1229942629684633,4.065547337725807e-10,1698.0864301304164,0.1,16980.864301304162,69.87021497970643,0.0010167878548211417,2.643607029935944e-13,7.713774596587483e-23,5.149821716043945e-05,0.09584678159817894,1.224855112669232e-05,5.149821716088354e-05,0.09584678159817894,1.224855112624823e-05
2CaClF-1,7181,,,,,,,,,5.900624879661979,1.1188188483679937,4.781806031293986,5.952612824966852,1.1188188483679944,4.833793976598858,0.5610975504573599,0.3867067613900252,0.17439078906733463,-2.1365473455029944,,-1.5869275710579398,,,0.0,,0.0,,4.554110013197707e-09,-5.146630712873752,,-5.380270112502172,,0.012101454898505892,0.6910034802902058,1.122232876162275,2.2634516155036417,5.80641967300601e-08,6.020166734741515,6.020166734741515,,7.586685082888464,6.062324944007456,,,7.586685082888464,,,,,,1.0,-3.2268715564023958,,,0.0,,,,64.0,,-5.387701779537916e-13,129.0,,,,,5.276393993101211,-8.156714080244509,,-9.173612653946403,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/CaClF/Ca2Cl2F2-06bacf1bf35f,P4/nmm,Lyngby22_LDP,p4/nmm,Ca2Cl2F2-f535286bb483,z,,,F2Cl2Ca2,6,2CaClF,1,ABC,2CaClF,1,0.6910034802902058,0.687572995244947,0.6944922330090406,0.0019614733741879302,False,0.6910239538716278,0.6910152937247952,1.0100632773711955,1.122232876162275,1.079234031618305,1.1685266237207008,-0.015534321204775386,False,1.1229931875000034,1.1221067475987274,1.0827370055858063,76.59947650390328,12.991735625886841,76.59944700537285,5884.711401174687,76.59946175463807,False,2.9628767446293538e-05,1.0000296287674464,True,0.0006774987205226178,1.0006774987205227,True,True,CaClF,Ca2Cl2F2,6,Ca1-Cl1-F1,10.054306,0.28432006,3.6646024382002675,5.276393993101211e-10,1464.5857695123582,0.1,14645.857695123581,69.8793919764768,0.01335012868953397,3.0650804600035556e-13,8.943590904827104e-23,6.148310376952182e-05,0.09068628975742721,0.00012295547492513492,6.148310376907773e-05,0.09068628975742765,0.00012295547492424674
2BaBrF-1,7813,,,,,,,,,5.191010234248718,1.315454792171929,3.8755554420767884,5.194294581360344,1.3154547921719315,3.878839789188413,0.6374561762989767,0.43447726212226934,0.20297891417670733,-2.3030049117281384,,-1.9441391893873399,,,0.0,,0.0,,7.890396801785019e-17,-4.750697733573199,,-5.008111458831269,,0.031124031738578733,0.4791788552285465,1.0994373462935365,2.48736271937205,7.462777845195501e-16,4.895385643690123,4.895385643690123,,6.127944538887858,5.083149752282769,,,6.127944538887858,,,,,,1.0,-3.1560933184659916,,,0.0,,,,64.0,,-4.710970596288671e-13,129.0,,,,,5.869079327896465,-7.198390555418261,,-8.072083728275198,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/BaBrF/Ba2Br2F2-fa43d7aa8891,P4/nmm,Lyngby22_LDP,p4/nmm,Ba2Br2F2-c7d3abb03f9f,z,,,F2Br2Ba2,6,2BaBrF,1,ABC,2BaBrF,1,0.4791788552285465,0.4791788552282918,0.47917885522880105,0.00047533661694419406,False,0.4791788552285464,0.4791788552285464,1.0000000000010627,1.0994373462935365,1.0908540226146184,1.1079662391449796,-0.0027783996885209702,False,1.0993768366181322,1.0993435433647405,1.015686990353985,44.30150345826041,5.063898799452353,44.35781187655842,3286.8713689664064,44.32965766740942,False,1.1584641230628079e-16,0.9999999999999999,True,5.503694740611356e-05,0.9999449630525938,True,True,BaBrF,Ba2Br2F2,6,Ba1-Br1-F1,8.135157,0.2615109,3.816539276662322,5.869079327896465e-10,1784.8651277524614,0.1,17848.651277524612,69.89112747830342,0.029121948982814887,2.5150769962010144e-13,7.33873712017895e-23,3.3111959154563664e-05,0.10633202233155803,0.0002662524219116946,3.311195915589593e-05,0.10633202233155803,0.00026625242191080645
2BrFSr-1,6176,,,,,,,,,4.992530570474182,1.2523598459989835,3.740170724475199,4.991442094888171,1.2523598459989793,3.7390822488891917,0.6048559350652782,0.4266345547785436,0.1782213802867346,-2.268262839299548,,-1.9749160083635127,,,0.0,,0.0,,1.9070678986256747e-07,-4.825402721237154,,-5.109671377719416,,0.001903436617242941,0.4032540086981295,0.9376733414197824,2.331627648977956,2.055804233860583e-06,5.114279763875212,5.114279763875212,,6.269510738711807,5.288026050373729,,,6.269510738711807,,,,,,1.0,-3.1346768756939714,,,0.0,,,,64.0,,-2.0919159231081774e-13,129.0,,,,,5.732618387349518,-7.38254260317476,,-8.24442674707532,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/BrFSr/Br2F2Sr2-c8357e2bb812,P4/nmm,Lyngby22_LDP,p4/nmm,Br2F2Sr2-a349e36fcbce,z,,,F2Br2Sr2,6,2BrFSr,1,ABC,2BrFSr,1,0.4032540086981295,0.40325400869807887,0.4032540086981801,0.0005468936346486703,False,0.4032540086981295,0.4032540086981295,1.0000000000002511,0.9376733414197824,0.9188840485190575,0.9569511920404491,-0.007764670037998535,False,0.9377244721010889,0.9375313636980063,1.041427581186923,58.6502185856847,8.14335661236351,58.649245512586575,3986.6012917114335,58.649732049135636,False,0.0,1.0,True,5.452931105948503e-05,1.0000545293110594,True,True,SrBrF,Sr2Br2F2,6,Br1-F1-Sr1,8.34987,0.2678925,3.745275701953934,5.732618387349518e-10,1963.6609745132102,0.1,19636.6097451321,69.88686806017216,0.02339754296145485,2.286073452798764e-13,6.670528231482054e-23,3.556274724125785e-05,0.09473109530589374,0.00019629663284348453,3.556274724125785e-05,0.0947310953058933,0.00019629663284348453
2BrCaF-1,7188,,,,,,,,,6.086395616598675,1.3734585294204553,4.7129370871782195,6.123845428525211,1.3734585294204553,4.750386899104756,0.5890652812500515,0.43115744848222576,0.15790783276782575,-2.245825199807986,,-1.8682501079249827,,,0.0,,0.0,,6.708359712386126e-08,-4.830775885670464,,-5.060653220032901,,0.0,0.6281177820261508,0.7875976592317354,2.344007628720089,8.134862559947752e-07,5.169901371724956,5.169901371724956,,6.384806224215836,5.342847855216624,,,6.384806224215836,,,,,,1.0,-3.0766614165191295,,,0.0,,,,64.0,,-5.84657162818999e-14,129.0,,,,,5.568703316765946,-7.415726571532942,,-8.253056332140819,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/BrCaF/Br2Ca2F2-a32b35782b56,P4/nmm,Lyngby22_LDP,p4/nmm,Br2Ca2F2-05bc271cedd2,z,,,F2Ca2Br2,6,2BrCaF,1,ABC,2BrCaF,1,0.6281177820261508,0.6211562883870492,0.6351053464888985,0.004453855311559718,False,0.6280920949668249,0.6280533748828058,1.0224565996716715,0.7875976592317354,0.7651165769167987,0.8109699281336948,-0.011527439053267386,False,0.7877096770994468,0.7873762428747351,1.0599298885951107,72.64891723143832,12.93525853656704,72.64891644833253,4846.320562719333,72.64891683988543,False,4.089529075734566e-05,0.9999591047092427,True,0.000142227273530359,1.0001422272735303,True,True,CaBrF,Ca2Br2F2,6,Br1-Ca1-F1,8.50274,0.27059406,4.099355078261496,5.568703316765946e-10,1540.8043547551335,0.1,15408.043547551335,69.89332003523592,0.03206861580906857,2.9134608883196004e-13,8.50118052115162e-23,4.8163473311824134e-05,0.0885933465352009,0.00025493879611415693,4.816347331271231e-05,0.08859334653520268,0.000254938796114601
2ClOSc-1,7978,,,,,,,,,5.5890598320747795,1.4439958933914407,4.1450639386833386,8.225226752913137,1.8022565919923046,6.4229701609208325,0.5398715799871259,0.42898625566023596,0.11088532432688997,-4.086565695279043,,-2.864757761040203,,,0.0,,0.0,,1.1023776478263259e-06,-6.2082531109766315,,-6.095456918674612,,0.0,1.5254846971438476,2.325910624205332,3.779959895157483,1.4416420960953577e-05,4.24337483139518,4.244577336169897,,6.4972532129590785,4.249757165259479,,,6.461398367364946,,,,,,1.0,-3.0120177311489464,,,0.0,,,,46.0,,-9.466304055599313e-11,59.0,0.0,0.0,,,5.534171047050614,-8.329940526674221,,-9.326156128405149,,Rectangular,Rectangular (op),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree/ABC/ClOSc/Cl2O2Sc2-4f02b8743bf5,Pmmn,original03-18,pmmn,Cl2O2Sc2-4f02b8743bf5,z,,,O2Cl2Sc2,6,2ClOSc,1,ABC,2ClOSc,1,1.5254846971438476,0.7949528270125378,2.92734799115741,0.0005985984445970809,False,1.5254846971438478,1.250357601331193,3.682417234942723,2.325910624205332,1.277308300463741,4.235359802975621,-0.00030559545690540184,True,2.325910624205332,1.9627012293433796,3.315847709936533,103.03569836750542,33.98025729896862,116.90719740258137,6673.014152791311,109.9714478850434,False,1.4555675670871272e-16,1.0000000000000002,True,0.0,1.0,True,True,ScClO,Sc2Cl2O2,6,Cl1-O1-Sc1,8.290423,0.29580167,4.685611764824048,5.534171047050614e-10,1067.4640326060285,0.1,10674.640326060284,69.9140395152174,0.05991437133497788,4.205362510596545e-13,1.2270817158655766e-22,4.6549367999304536e-05,0.07502450018866025,0.00045463090219177715,4.6549368000192715e-05,0.07502450018866069,0.00045463090219133306
