uid,comp_key,gap,gap_hse,gap_gw,E_pred,E_sd,mahalanobis,in_anchor_box
2ScF3-1,F3-Sc1,6.883936707053714,10.024799859577415,,12.914349,0.30708548,7.716396322282694,False
2FOY-1,F1-O1-Y1,5.17330748846039,6.726879214939499,,8.867465,0.2731067,3.0368908290441627,True
2FOSc-1,F1-O1-Sc1,4.619597570808152,6.9857666520924075,,8.957548,0.28589594,5.4550354830268555,True
2KTaF6-1,F6-K1-Ta1,6.0798439543383545,8.68143673805662,,11.238371,0.29819858,5.921112336971797,False
2ClFSr-1,Cl1-F1-Sr1,6.009449023016467,7.351129491723217,,9.7789955,0.2751458,3.8034018809395413,False
2AlFO-1,Al1-F1-O1,5.6726503874705285,7.451110094646179,,9.8071995,0.26752478,3.589100834634054,False
2CaClF-1,Ca1-Cl1-F1,6.020166734741515,7.586685082888464,,10.054306,0.28432006,3.658084023173061,False
2BaBrF-1,Ba1-Br1-F1,4.895385643690123,6.127944538887858,,8.135157,0.2615109,2.8047601062216843,True
2BrFSr-1,Br1-F1-Sr1,5.114279763875212,6.269510738711807,,8.34987,0.2678925,3.132383651638728,True
2BrCaF-1,Br1-Ca1-F1,5.169901371724956,6.384806224215836,,8.50274,0.27059406,3.1021741704622534,True
2ClOSc-1,Cl1-O1-Sc1,4.24337483139518,6.461398367364946,,8.290423,0.29580167,5.0111606425787105,True
2BrOY-1,Br1-O1-Y1,3.491502087094321,4.775862881068465,,6.2699113,0.26355374,1.8377870529623082,True
1TiF2-1,F2-Ti1,1.2877552866404853,2.0961952531252583,,2.7107415,0.27235973,0.7070510728197027,True
1SrP2F12-1,F12-P2-Sr1,6.876035946302497,9.426418483475762,,12.272048,0.30186397,5.698657609095041,False
2BaFI-1,Ba1-F1-I1,3.899982883636374,4.906596916370807,,6.533741,0.26811352,2.0682027439794837,True
2TiO2-1,O2-Ti1,2.8548578251823153,5.342124276048439,,6.6650186,0.30918407,7.041230054406915,True
2FISr-1,F1-I1-Sr1,4.219075560287093,5.170777689308794,,6.903817,0.27231744,2.5325599644272345,True
2CaGe2F6-1,Ca1-F6-Ge2,4.773241093701042,5.992006948733845,,7.965225,0.2770399,2.6983356576151394,True
2CaFI-1,Ca1-F1-I1,3.9588538364803476,5.208879312061292,,6.8581944,0.26908267,2.009407511288718,True
2FSSc-1,F1-S1-Sc1,1.6125027100387688,3.0265352582099236,,3.8033166,0.27904004,3.159589831719026,True
2BrOSc-1,Br1-O1-Sc1,3.210201931910875,5.237291553640096,,6.66519,0.289227,4.743871864625325,True
1BaSb2F12-1,Ba1-F12-Sb2,4.965795654255119,7.344033209756923,,9.44352,0.27584687,5.373892924510628,True
2IOY-1,I1-O1-Y1,1.8161562820185695,2.8342099673596675,,3.6648796,0.26543018,1.1944355897466388,True
2FScSe-1,F1-Sc1-Se1,0.8585338309430461,2.155764909054832,,2.632539,0.27524793,3.3377947205783567,True
1TeNb3F7-1,F7-Nb3-Te1,0.8119590420840308,1.7190866209091031,,2.1405709,0.26447794,1.6572391815419756,True
1SrAs2F12-1,As2-F12-Sr1,4.689493020935764,7.119181141262384,,9.13401,0.2898386,5.683789148001466,True
4IOSc-1,I1-O1-Sc1,1.7919605755595496,3.3501515984261054,,4.2196593,0.2769068,3.6644268038864913,True
2WF2O2-1,F2-O2-W1,2.359577213631714,3.972017419309762,,5.03027,0.27122438,3.4696680996922344,True
4FNZr-1,F1-N1-Zr1,1.9341101477564662,3.2933184290796476,,4.197706,0.26521432,2.6445547225291937,True
