uid,id,A,A_u,E_B,J,J_u,N_nn,N_nn_u,P_spontaneous_norm,alphax,alphax_el,alphax_lat,alphay,alphay_el,alphay_lat,alphaz,alphaz_el,alphaz_lat,cbm,cbm_gw,cbm_hse,cbm_u,cod_id,dE_zx,dE_zx_u,dE_zy,dE_zy_u,dipz,efermi,efermi_gw,efermi_hse,efermi_u,ehull,emass_cbm,emass_vbm,evac,evacdiff,gap,gap_dir,gap_dir_gw,gap_dir_hse,gap_dir_nosoc,gap_dir_u,gap_gw,gap_hse,gap_u,halfmetal_gap,halfmetal_gap_dir,halfmetal_gap_dir_hse,halfmetal_gap_hse,has_inversion_symmetry,hform,icsd_id,is_ferroelectric,is_magnetic,is_magnetic_u,lam,lam_u,lgnum,magmom_u,minhessianeig,number,plasmafrequency_x,plasmafrequency_y,spin,spin_u,thickness,vbm,vbm_gw,vbm_hse,vbm_u,bravais_search,bravais_type,doi,dyn_stab,folder,international,label,layergroup,olduid,spin_axis,spin_axis_u,topology,formula,natoms,base_uid,magstate,stoich,folder_tree,magstate_tree,cbm_m_dos_file,cbm_min_emass,cbm_max_emass,cbm_warping,cbm_barrier,cbm_m_dos_check,cbm_m_cond,cbm_anisotropy,vbm_m_dos_file,vbm_min_emass,vbm_max_emass,vbm_warping,vbm_barrier,vbm_m_dos_check,vbm_m_cond,vbm_anisotropy,c_11,c_12,c_22,speed_of_sound_x,C_2D,has_defpot,cbm_rel,cbm_ratio,cbm_parabolic,vbm_rel,vbm_ratio,vbm_parabolic,parabolic,formula_reduced,formula_cell,natoms_cell,comp_key,E_mean,E_sd,eps_ch,t_ch_m,I_ON,I_OFF,on_off,SS,DIBL,tau,EDP,spr_gap_I_ON,spr_mass_I_ON,spr_eps_I_ON,spr_gap_on_off,spr_mass_on_off,spr_eps_on_off,floor_above_spec
1CdF2-1,3333,,,,,,,,,1.772322465748743,0.5327282003054168,1.2395942654433263,1.7722976855409405,0.5327282003054131,1.2395694852355272,0.2719071703598957,0.1739840530802031,0.0979231172796926,-4.952809720581386,,-4.63697518562115,,,0.0,,0.0,,-7.177210483501547e-15,-6.856292629465247,,-7.564121588949998,,0.0517287337195814,0.5618547138661326,2.068214677658601,2.1749505362585677,-1.215768344878834e-13,3.806965817767722,3.806965817767722,,5.854292806657696,3.849723080766328,,,5.854292806657696,,,,,,1.0,-2.2445324656136534,,,0.0,,,,72.0,,-2.722825493654933e-15,164.0,,,,,2.0343233640583254,-8.759775538349107,,-10.491267992278846,,Hexagonal,Hexagonal (hp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/AB2/CdF2/CdF2-9dcd630334f9,P-3m1,Lyngby22_LDP,p-3m1,CdF2-c43f24bb6516,z,,,F2Cd,3,1CdF2,1,AB2,1CdF2,1,0.5618547138661326,0.561853326599249,0.5618561011364417,5.6126566841242704e-05,False,0.5618547138661327,0.5618547138644201,1.0000049381877107,2.068214677658601,2.064109020254759,2.072328501502565,-0.0010400278080238,False,2.068214677658601,2.0682105944466023,1.0039820964722066,44.77885425285577,15.869984376258502,44.0281039855464,4376.28582846075,44.40347911920109,False,1.975996636186767e-16,1.0000000000000002,True,0.0,1.0,True,True,CdF2,Cd1F2,3,Cd1-F2,7.5024366,0.29197222,4.290755108078521,2.034323364058325e-10,1636.760920893919,0.1,16367.609208939191,69.86950453536546,6.199268372833184e-05,2.742656649988861e-13,8.002791244793455e-23,0.7679302090052227,0.0876857033031641,1.1715998238237546e-06,3.339831076728109,0.0876857033031637,1.1715998233796654e-06,False
2FGaO-1,6299,,,,,,,,,3.640021485577911,1.0659085812520208,2.5741129043258906,3.73814407787985,1.0291701357295382,2.708973942150311,0.391379163594404,0.2897092980623211,0.1016698655320828,-5.175351662424771,,-4.840114713348144,,,0.0,,0.0,,-1.0749164479393136e-08,-6.7511823570993545,,-7.2177205974398575,,0.0,0.3966076376633284,1.1351639688291806,3.030182761451921,-1.6570742345184156e-07,3.151661389349166,3.151661389349166,,4.755211768183427,3.151839634426407,,,4.755211768183427,,,,,,1.0,-2.2294220814795813,,,0.0,,,,46.0,,-2.2857622700860707e-11,59.0,,,,,4.33751079692645,-8.327013051773937,,-9.595326481531572,,Rectangular,Rectangular (op),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/FGaO/F2Ga2O2-187169b9c2da,Pmmn,Lyngby22_LDP,pmmn,F2Ga2O2-44da2d18e3b7,z,,,O2F2Ga2,6,2FGaO,1,ABC,2FGaO,1,0.3966076376633284,0.3918824041748737,0.4013898469978086,0.0003096415310645,False,0.3966076376633284,0.3965791517864271,1.0242609586999785,1.1351639688291806,0.54177731126352,2.37846290226289,-0.0004339438492243,False,1.1351639688291806,0.882528245559593,4.390111680232412,136.62632041226578,38.59730345309733,157.97895459793355,6790.616308124663,147.30263750509965,False,0.0,1.0,True,0.0,1.0,True,True,GaOF,Ga2O2F2,6,F1-Ga1-O1,6.133224,0.2785751,4.034866869092523,4.33751079692645e-10,1982.26002493918,0.1,19822.6002493918,69.87511993597701,0.0076087589514913,2.264623796905421e-13,6.607940332122588e-23,0.9476792701072264,0.1002363067492733,6.45733341526622e-05,2.4309234517356084,0.1002363067492737,6.45733341526622e-05,False
2CaClH-1,6522,,,,,,,,,4.864059396745674,1.422705555140968,3.4413538416047054,4.873457844902362,1.4227055551409666,3.450752289761396,0.5448273581208785,0.4201487440116223,0.1246786141092562,-2.5474284964567144,,-1.8095652525661057,,,0.0,,0.0,,-2.1579875805429786e-07,-4.509654714866852,,-4.42629013031115,,0.0032213257852049,0.6700721906857686,4.214156521856298,2.056037541046468,-2.8289074451715923e-06,3.924452436820277,3.924452436820277,,5.233449755490089,3.924478472560831,,,5.233449755490089,,,,,,1.0,-1.5350556763766756,,,0.0,,,,64.0,,-2.633909717155658e-13,129.0,,,,,5.108798948660288,-6.47188093327699,,-7.043015008056195,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/CaClH/Ca2Cl2H2-ab9cf1743d2c,P4/nmm,Lyngby22_LDP,p4/nmm,Ca2Cl2H2-f6040079903a,z,,,H2Cl2Ca2,6,2CaClH,1,ABC,2CaClH,1,0.6700721906857686,0.6700721906849721,0.6700721906865652,0.0010841578188814,False,0.6700721906857686,0.6700721906857686,1.0000000000023774,4.214156521856298,4.214156521229577,4.214156522483018,-0.0014907185919809,False,4.214156521856298,4.214156521856297,1.000000000297436,69.73999214845975,6.068467488176681,69.73746948755286,6154.098663860194,69.7387308180063,False,0.0,1.0,True,0.0,1.0,True,True,CaHCl,Ca2H2Cl2,6,Ca1-Cl1-H1,6.8824625,0.26333332,4.49950065772256,5.108798948660287e-10,1488.479212377442,0.1,14884.79212377442,69.8941715955267,0.0332130624696237,3.015879017189311e-13,8.800026133135161e-23,0.0086145025272381,0.0930019953232297,0.0002516626515745,0.3474110480324235,0.0930019953232292,0.0002516626515749,False
1ZrSe2-1,3780,,,0.3813052403153976,,,,,,37.774884171643606,6.558340890361878,31.216543281281727,37.809708715646586,6.55834089036188,31.251367825284703,0.4030061788062524,0.3845394780347303,0.018466700771522,-5.120769931701469,-4.619287653155383,-4.683654899278065,,1539555.0,0.0,,0.0,,4.7609182357336724e-14,-5.289044820247026,-5.464888330901888,-5.335728213592143,,0.0,0.6115361673788087,0.197654856480176,3.81934088950746,6.907729085693608e-13,0.3365497770911154,0.9541560167874054,2.4709080081121124,2.0200771390083685,1.1262547943250982,,1.69120135549301,1.2023654809310316,,,,,,1.0,-1.3672498309035443,,,0.0,,,,72.0,,-7.66445935073825e-14,164.0,0.0,0.0,,,3.161210610264177,-5.457319708792585,-6.310489008648394,-5.8860203802090965,,Hexagonal,Hexagonal (hp),10.3390/app6090264,Yes,/home/niflheim2/cmr/C2DB-ASR/tree/AB2/ZrSe2/ZrSe2-7dc2a0a57b42,P-3m1,original03-18,p-3m1,ZrSe2-7dc2a0a57b42,z,,,Se2Zr,3,1ZrSe2,1,AB2,1ZrSe2,1,0.6115361673788087,0.1913218754296972,1.8902377403286972,0.0057288575635217,False,0.6013682977075525,0.3474739101872115,9.87988297774804,0.197654856480176,0.1963286206093522,0.1989900513177547,-3.945908419233185e-06,False,0.197654856480176,0.1976503770983156,1.0135559996303247,64.56855315369879,12.004637762979865,64.62618883762538,4411.640705355924,64.59737099566209,False,0.0166267674973961,0.983373232502604,True,0.0,1.0,True,True,ZrSe2,Zr1Se2,3,Se2-Zr1,1.45318,0.26869142,27.07056359231517,3.161210610264177e-10,1939.716532511361,0.1,19397.16532511361,73.05887452121496,4.286386600589883,2.3142934283905774e-13,6.752871230411713e-23,0.159338353001361,0.0802961458558835,0.0185348060023993,2.0403778848117025,0.0802961458558835,0.0185348060023997,False
2BaHI-1,7896,,,,,,,,,5.644832991966462,2.391399954487889,3.253433037478574,5.660770792612411,2.391399954487837,3.269370838124573,0.6553012555626232,0.5216573732397574,0.1336438823228659,-2.772783621852444,,-2.450844843807203,,,0.0,,0.0,,1.9389562333640923e-14,-4.395753048413997,,-4.560154517630135,,0.0162442801473847,0.4541166895225006,6.912311961636246,2.4228266521097126,1.6564004036252685e-13,3.2459388531231053,3.3204243152577675,,4.286044646651643,3.48251498092898,,,4.218619347645864,,,,,,1.0,-1.2495967496283982,,,0.0,,,,64.0,,-4.747596632097985e-14,129.0,,,,,5.854570018849785,-6.018722474975549,,-6.669464191453067,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/BaHI/Ba2H2I2-751c8ce6b342,P4/nmm,Lyngby22_LDP,p4/nmm,Ba2H2I2-12777ffdee88,z,,,H2I2Ba2,6,2BaHI,1,ABC,2BaHI,1,0.4541166895225006,0.4541166876818162,0.4541166913631849,0.0009188372036253,False,0.4541166895225005,0.4541166895225005,1.000000008106658,6.912311961636246,1.1309040477668273,42.24943464419445,-0.0001973800877341,False,6.912311961636246,2.20284387331598,37.35899144372463,31.570974741453387,1.05065896777792,31.570972169672096,2755.2914583557813,31.570973455562743,False,1.2223983947744196e-16,1.0,True,0.0,1.0,True,True,BaHI,Ba2H2I2,6,Ba1-H1-I1,5.594139,0.26007554,6.132950501659581,5.854570018849785e-10,1834.3402061233603,0.1,18343.402061233603,70.05512133824864,0.249519996417691,2.447241361851122e-13,7.140799685807596e-23,0.0974941627253715,0.0981993602746702,0.0017477566899697,1.3658405435707954,0.0981993602746698,0.0017477566899692,False
2CaHI-1,6123,,,,,,,,,5.796458233873067,2.154700698582768,3.641757535290299,5.8041649324274776,2.154700698582771,3.649464233844707,0.6141332132646851,0.5270544132399427,0.0870788000247423,-2.6540100306677203,,-2.1868242717955733,,,0.0,,0.0,,2.2424216297921138e-06,-4.468214682695983,,-4.541126632653061,,0.0,0.4928730015811182,0.6304788492074443,2.350283417982016,2.5026064923156712e-05,3.628409304056525,3.628409304056525,,4.933321704135455,4.009768003712958,,,4.708604721714976,,,,,,1.0,-1.1541067347603804,,,0.0,,,,64.0,,-2.070876762464089e-13,129.0,,,,,5.655691790050753,-6.282419334724245,,-6.895428993510549,,Square,Square (tp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_LDP/ABC/CaHI/Ca2H2I2-2c849100f593,P4/nmm,Lyngby22_LDP,p4/nmm,Ca2H2I2-6c113da5bf9b,z,,,H2Ca2I2,6,2CaHI,1,ABC,2CaHI,1,0.4928730015811182,0.488628868012506,0.4971097839725678,0.0033919733330545,False,0.4928510840207792,0.4928328427241895,1.01735655937513,0.6304788492074443,0.6174007625087976,0.6441035986285646,-0.0058776750559115,False,0.6306108569696024,0.6304695650348765,1.043250410011255,58.30076146085538,4.612958553196237,58.30075960751643,4116.218605689878,58.30076053418591,False,4.446898139818803e-05,0.9999555310186018,True,0.0002093769875452,1.0002093769875453,True,True,CaHI,Ca2H2I2,6,Ca1-H1-I1,6.220052,0.2691296,5.787525301333069,5.655691790050752e-10,1754.9651994793453,0.1,17549.65199479345,69.99613831226054,0.1702502983697209,2.557927203037073e-13,7.463769635680513e-23,0.0378305895795505,0.1013035868944522,0.0009417841488912,0.5950352274500097,0.1013035868944518,0.0009417841488916,False
1MgAl2Se4-1,8238,,,,,,,,,8.681991063660776,4.700478130215316,3.981512933445461,8.68078101687516,4.700478130215352,3.980302886659809,0.8903595118654918,0.8222762927890485,0.0680832190764433,-3.772005639739896,,-3.439702236531425,,,0.0,,0.0,,2.428504316900581e-13,-4.304171591706369,,-4.431461679653971,,0.0112306018046192,0.1864893166674572,0.6002602094664036,2.983477964735315,3.303003527153224e-12,1.064331903932948,1.064331903932948,,1.983518886245092,1.2027835307875454,,,1.983518886245092,,,,,,1.0,-0.9616140226158686,83363.0,,0.0,,,,72.0,,-1.888920133768909e-15,164.0,,,,,9.646270534664962,-4.836337543672844,,-5.423221122776518,,Hexagonal,Hexagonal (hp),,Yes,/home/niflheim2/cmr/C2DB-ASR/ICSD-COD/3el/Al6Mg3Se12,P-3m1,exfoliated02-21,p-3m1,MgAl2Se4-6abc5afac004,z,,,MgAl2Se4,7,1MgAl2Se4,1,AB2C4,1MgAl2Se4,1,0.1864893166674572,0.1863963663745705,0.1865823133118749,2.801129694510527e-06,False,0.1864893166674572,0.1864892934916946,1.0009975888528355,0.6002602094664036,0.5942996359236619,0.6062805650362758,-2.532714665185424e-06,False,0.6002602094664036,0.6002303199412399,1.020159744997981,109.07085775474349,38.57508023556596,108.9984666525056,4708.620189918042,109.03466220362456,False,1.488319873310593e-16,1.0,True,0.0,1.0,True,True,Mg(AlSe2)2,Mg1Al2Se4,7,Al2-Mg1-Se4,2.5202048,0.2578946,7.123397642302128,9.646270534664963e-10,2930.3764536885487,0.1,29303.764536885486,71.6086451063196,2.3373640488775016,1.5319100788163496e-13,4.4699567357846733e-23,0.0613175428596544,0.086942768648647,0.0142024187836189,0.9405553832378906,0.0869427686486474,0.0142024187836184,False
2MoCl3-3,11940,,,,,,,,,7.463107865764308,6.837590828764949,0.6255170369993598,7.463017918876745,6.837590828764946,0.6254270901117989,0.3543618256924491,0.3454855621514526,0.0088762635409965,-4.557760086870894,,-4.455414903767317,,,0.0,,0.0,,-9.039001232514063e-10,-4.811496730081123,,-4.845963279718494,,0.1389030538274527,0.4533794672803167,0.542777411641292,3.695084200208206,-6.045030331441627e-09,0.5074732864204573,0.5074732864204573,,0.8150148111902887,0.5611094175012927,,,0.8150148111902887,,,,,,0.0,-0.7795388455415431,,,0.0,,,,79.0,,-4.641749397961378e-15,189.0,0.0,0.0,,,3.106228859910184,-5.065233373291351,,-5.270429714957606,,Hexagonal,Hexagonal (hp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree/AB3/MoCl3/Mo2Cl6-61d74efeaeeb,P-62m,original03-18,p-62m,Mo2Cl6-61d74efeaeeb,z,,Trivial,Cl6Mo2,8,2MoCl3,3,AB3,2MoCl3,3,0.4533794672803167,0.4524136193773832,0.4543473771507323,0.0001356283444611,False,0.4533794672803167,0.4533784362989202,1.0042743137927863,0.542777411641292,0.5346483666044202,0.551030054499347,-0.001077534964911,False,0.542777411641292,0.5427156197661269,1.0306401158558995,67.8897552314431,12.392102149293242,67.43914591173748,5228.853181317795,67.6644505715903,False,0.0,1.0,True,0.0,1.0,True,True,MoCl3,Mo2Cl6,8,Cl3-Mo1,1.1208153,0.25994384,28.66174172565253,3.1062288599101835e-10,1878.5198003144449,0.3079528836779827,6100.023412278735,73.40293328461287,4.748781227322226,2.389686402762524e-13,6.972860209063197e-23,0.0706221686570875,0.0867733096928322,0.0169060521465258,0.9585934475940432,0.1728787215537854,0.0169060521465258,True
1BrCdI-1,7006,,,,,,,,,6.101392577025631,1.862264846171604,4.239127730854027,6.128299862325307,1.8609510355742789,4.267348826751029,0.426885758657587,0.3758404846403628,0.0510452740172241,-3.8876806783387,,-3.603346246408939,,,0.0,,0.0,,-0.0266881173229843,-4.97737037205183,,-5.129825086010566,,0.0236930595578326,1.8924167228489737,0.4015190028474897,3.1120164448968337,-0.314839635857029,2.17937938742626,2.17937938742626,,3.052957679203253,2.5577426245857144,,,3.052957679203253,,,,,,0.0,-0.742702894519506,,,0.0,,,,69.0,,-4.42284793239766e-16,156.0,,,,,3.2672843649386394,-6.067060065764959,,-6.6563039256121925,,Hexagonal,Hexagonal (hp),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree_CDVAE/ABC/BrCdI/BrCdI-8762fc6479b8,P3m1,Lyngby22_CDVAE,p3m1,BrCdI-b5e144ad1a67,z,,,BrCdI,3,1BrCdI,1,ABC,1BrCdI,1,1.8924167228489737,0.3619503323255009,9.89428861664326,0.0008508330456758,False,1.8924167228489737,0.6983536695541857,27.336039597127247,0.4015190028474897,0.3473839022304884,0.4675117768058742,-0.010244095777557,False,0.4029963589978621,0.3985935121354025,1.3458072576307272,24.852732687343984,9.546045231231878,24.632028009924277,2681.704375654469,24.74238034863413,False,0.0,1.0,True,0.0036794177607916,1.0036794177607915,True,True,CdIBr,Cd1I1Br1,3,Br1-Cd1-I1,4.015186,0.26589248,8.159969170324349,3.2672843649386397e-10,1384.092159015912,0.1,13840.921590159118,69.9202767688642,0.0682968712991403,3.2433340474404014e-13,9.463716619031396e-23,0.0511409999744811,0.0889012229193464,0.0005129335708455,0.8359425312975608,0.0889012229193468,0.000512933570846,False
2MoWSe4-1,4534,,,,,,,,,7.1926081694373964,6.975452339693802,0.2171558297435948,7.16946741510742,6.926279424881805,0.2431879902256139,0.4129204981993158,0.4117920226868426,0.0011284755124731,-3.781975068550974,,-3.4082343708470244,,,0.0,,0.0,,-4.845152298752919e-06,-4.416993266332078,,-4.306288541568404,,0.0,0.5090674766196269,0.4583681287153746,4.634636782372532,-2.295787518037005e-05,1.2700363955622085,1.2700363955622085,,1.7490843965495402,1.4524583717279052,,,1.7490843965495402,,,,,,0.0,-0.6534804117523537,,,0.0,,,,27.0,,-3.5740879773143155e-14,25.0,0.0,0.0,,,3.34744514963824,-5.052011464113182,,-5.157318767396565,,Rectangular,Rectangular (op),,Yes,/home/niflheim2/cmr/C2DB-ASR/tree/ABC4/MoWSe4/Mo2W2Se8-a1d716aad84d,Pmm2,original03-18,pm2m,Mo2W2Se8-a1d716aad84d,z,,,Se8Mo2W2,12,2MoWSe4,1,ABC4,2MoWSe4,1,0.5090674766196269,0.4961898975424722,0.5222792665376504,0.0009110692920131,False,0.5090674766196268,0.5089004260348663,1.05257940382179,0.4583681287153746,0.4546446977579657,0.4621220536786808,-1.2505618513655232e-05,False,0.4583681287153746,0.4583528822195803,1.016446592157764,114.35353332403896,23.704288627529166,114.13726924612064,4698.396129197398,114.2454012850798,False,2.1808956093549668e-16,0.9999999999999998,True,1.211060450185176e-16,1.0000000000000002,True,True,MoWSe4,Mo2W2Se8,12,Mo1-Se4-W1,2.3423796,0.25898287,27.093678271912196,3.34744514963824e-10,1644.8451733736138,0.1,16448.451733736136,73.57396256988937,4.978634470252901,2.7291767619224684e-13,7.963458311814419e-23,0.6934881687177441,0.0861210353757684,0.0224180808682681,3.111078890468181,0.0861210353757684,0.0224180808682685,False
