uid,comp_key,fom_ref,rank_mean,rank_entropy
2BrTl-1,Br1-Tl1,9210.806793424372,3.9695,0.30441519200734796
2AsIrTe3-1,As1-Ir1-Te3,14619.341959391912,6.0815,0.3950522672439688
2BiPO4-1,Bi1-O4-P1,5843.667583340577,8.189,0.35576309461640543
2GaTe-1,Ga1-Te1,5700.694008491969,8.855,0.36082812547124204
2TeTl-2,Te1-Tl1,6033.344490228499,12.995,0.5359724174689107
2GeH-1,Ge1-H1,4749.548706640416,13.216,0.40671325543462405
1BiFS2O6-1,Bi1-F1-O6-S2,4306.718130959415,17.4125,0.4656167761080385
1BiHS2O6-1,Bi1-H1-O6-S2,4165.241614795537,18.926,0.4879456653196079
4HgTe-1,Hg1-Te1,3698.633955033675,19.267,0.5625511235804685
2ISb-1,I1-Sb1,5408.423230973597,19.4885,0.5837180453829203
2Sb-1,Sb1,4156.135109637235,19.667,0.4953829765227705
2PbTe-1,Pb1-Te1,3754.4503485893965,21.4535,0.5881724105505663
2GeInSe-1,Ge1-In1-Se1,3913.96433761655,22.48,0.5629159118895052
2TeZn-1,Te1-Zn1,3943.646719490916,22.6195,0.5197904397463906
2CdTe-1,Cd1-Te1,3864.7170293265635,24.2765,0.5271004337760703
2AlGeTe-1,Al1-Ge1-Te1,3926.8474234510354,24.422,0.534268516331971
2GaGeTe-1,Ga1-Ge1-Te1,3938.4183680726114,24.7585,0.551426173351571
4HgSe-1,Hg1-Se1,3369.159376740053,26.5005,0.6172146331967064
2PbSe-1,Pb1-Se1,3788.2816327033283,27.2695,0.5500661310355911
2AlGeTe3-1,Al1-Ge1-Te3,3595.0969732079175,32.391,0.5822320586089772
2GeInS-1,Ge1-In1-S1,3379.991165746428,32.7065,0.6492713744111799
2GaGeSe3-1,Ga1-Ge1-Se3,3556.9771702395383,33.9425,0.5872413871142486
2AuCdITe-1,Au1-Cd1-I1-Te1,3511.818614684735,35.3705,0.5884898242722912
1PtTe2-1,Pt1-Te2,4758.317181517642,36.5375,0.6578876767781288
2InSiTe-1,In1-Si1-Te1,3418.6041197893937,36.9645,0.6468246329567612
2AlGeSe3-1,Al1-Ge1-Se3,3421.407477283184,38.338,0.6089819849656395
2GeInTe3-1,Ge1-In1-Te3,3405.1714235802556,39.712,0.6276182448190354
2SeZn-1,Se1-Zn1,3357.9765138953203,42.0425,0.6258898276632534
2GaGeSe-1,Ga1-Ge1-Se1,3013.901970598015,47.054,0.7117286907913978
2CdSe-1,Cd1-Se1,3253.9335834944977,47.7075,0.645420977447787
2SeSn-1,Se1-Sn1,3215.297796115263,50.7695,0.6606946454167902
2SeTl-2,Se1-Tl1,2721.930695344999,52.0275,0.7265432070514053
2PZnSe3-1,P1-Se3-Zn1,3165.7647923979316,52.4175,0.6600443093198428
2InTe-1,In1-Te1,3163.5740569845752,52.64,0.6606142159767966
1MgGa2Se4-1,Ga2-Mg1-Se4,3112.659009236181,53.982,0.6933184859630825
2GaSe-1,Ga1-Se1,3111.064402589882,55.5975,0.6702806972996859
1MgAl2Te4-1,Al2-Mg1-Te4,2990.4944652804033,63.7615,0.7078740316412262
1AsClTe-1,As1-Cl1-Te1,3000.061464036183,64.0825,0.6929033482416128
1Ga2Mg2Se5-1,Ga2-Mg2-Se5,3015.956791014618,64.3815,0.7081595271199472
1ClSbTe-1,Cl1-Sb1-Te1,3007.2788872409556,64.7855,0.6922743162269441
2AsTe-1,As1-Te1,2974.5157781421203,66.1795,0.6975076869354532
1SSeBi2Cl2-1,Bi2-Cl2-S1-Se1,2987.5935427341597,66.3835,0.6983952639758266
2CdPSe3-1,Cd1-P1-Se3,2977.514972688972,66.902,0.70292480917108
2AlGeSe-1,Al1-Ge1-Se1,2988.378377158171,67.2965,0.7087832210614051
2GePTe3-1,Ge1-P1-Te3,3031.683793710147,67.746,0.7219162310393118
2SbTlO3-1,O3-Sb1-Tl1,2947.603571150643,67.8275,0.7023926537520311
2GaGeS3-1,Ga1-Ge1-S3,2950.12322301325,68.9025,0.7018822438879982
1BiHTe2O6-1,Bi1-H1-O6-Te2,2908.580529619629,69.7405,0.7042171824920536
2InSiSe3-1,In1-Se3-Si1,2944.469101939429,70.578,0.7037958233339294
1MgAl2Se4-1,Al2-Mg1-Se4,2930.3764536885487,71.015,0.707743524383114
2CdS-1,Cd1-S1,2903.2657459912366,71.826,0.7087250089315582
1CdGaInS4-1,Cd1-Ga1-In1-S4,2919.3113351667685,71.874,0.7197915809169131
2AgBrCdSe-1,Ag1-Br1-Cd1-Se1,2920.7099761581426,72.03,0.7124853147659677
2GaSeSi-1,Ga1-Se1-Si1,2937.771752400503,72.4675,0.7121628010386355
2CdCuITe-1,Cd1-Cu1-I1-Te1,2912.9737858512385,72.673,0.7085947957335788
1SSeSn2-1,S1-Se1-Sn2,2918.1831618031542,72.858,0.7128907848259911
1MgIn2Se4-1,In2-Mg1-Se4,2912.8170128928796,73.541,0.7097356509938763
1In2Mg2Te5-1,In2-Mg2-Te5,2749.6444100222734,75.8425,0.7724930503753132
