rank,by_mean_uid,by_mean_comp,by_mean_I_ON,by_LCB_uid,by_LCB_comp,by_LCB_I_ON,LCB_entropy
1,2AsIrTe3-1,As1-Ir1-Te3,20222.993471551683,2BrTl-1,Br1-Tl1,8323.830585778085,0.30441519200734796
2,2IPt-1,I1-Pt1,19137.47061887869,2BiPO4-1,Bi1-O4-P1,5454.8091572190715,0.35576309461640543
3,1N2O2Hf3-1,Hf3-N2-O2,10746.691552666236,2GaTe-1,Ga1-Te1,5234.510977595414,0.36082812547124204
4,1STa2Te2-1,S1-Ta2-Te2,10241.856114812581,2AsIrTe3-1,As1-Ir1-Te3,4904.637599935676,0.3950522672439688
5,2BrTl-1,Br1-Tl1,9187.679350762428,2GeH-1,Ge1-H1,4250.67916129566,0.40671325543462405
6,4CoS2-1,Co1-S2,8664.628163833093,1BiFS2O6-1,Bi1-F1-O6-S2,3781.0067986064437,0.4656167761080385
7,1PtTe2-1,Pt1-Te2,8239.250876516458,1BiHS2O6-1,Bi1-H1-O6-S2,3654.9727209526654,0.4879456653196079
8,2TeTl-2,Te1-Tl1,8158.215796925198,2Sb-1,Sb1,3613.2747324383795,0.4953829765227705
9,2ISb-1,I1-Sb1,6353.503576801125,2TeTl-2,Te1-Tl1,3520.415370707688,0.5359724174689107
10,2BiPO4-1,Bi1-O4-P1,5811.24182996234,2TeZn-1,Te1-Zn1,3475.0436289910117,0.5197904397463906
