regime,B_median,sigma_ln_mass,spread_med,spread_p90,frac_gt_2x,kendall_tau,top10_retention,top20_retention
0.1,0.03231841171572326,0.1,0.16980194261286546,0.19375292758033072,0.029177718832891247,0.9178357304645255,0.7437499999999999,0.8203125
0.1,0.03231841171572326,0.2,0.3368786073871025,0.37001588941807845,0.9084880636604774,0.8491973749564077,0.71875,0.7625000000000001
0.1,0.03231841171572326,0.4,0.6676980424689954,0.7256804176390953,0.9973474801061007,0.7199387683571636,0.625,0.6328125
0.25,0.07706030393207039,0.1,0.1629570634108055,0.1869183594120794,0.029177718832891247,0.917531465649339,0.7406250000000001,0.815625
0.25,0.07706030393207039,0.2,0.3254670110138176,0.36290347348209845,0.7824933687002652,0.8480666194637893,0.70625,0.7546875
0.25,0.07706030393207039,0.4,0.6457035780823471,0.7140203410450737,0.9920424403183024,0.7204737636544889,0.640625,0.640625
0.5,0.14309369760955512,0.1,0.15628413018943693,0.18247392632910706,0.03050397877984085,0.9149471961843166,0.684375,0.7984375
0.5,0.14309369760955512,0.2,0.30683263041837305,0.3529486751079588,0.5742705570291777,0.8470485872601548,0.653125,0.7515624999999999
0.5,0.14309369760955512,0.4,0.6154013961662037,0.6915534230626544,0.986737400530504,0.7181153810927818,0.61875,0.625
1,0.25036199615884247,0.1,0.14431727112299408,0.17609625464777104,0.027851458885941646,0.9128230667075288,0.640625,0.765625
1,0.25036199615884247,0.2,0.2840607577162726,0.3380957139880327,0.3673740053050398,0.8446056622317097,0.65,0.721875
1,0.25036199615884247,0.4,0.5606891377154781,0.6674291560720653,0.9694960212201591,0.7162464201549239,0.609375,0.6078125000000001
2,0.4004629464350504,0.1,0.12646796716711384,0.16720984178765172,0.029177718832891247,0.9098940224953413,0.621875,0.7453125
2,0.4004629464350504,0.2,0.24766680969091448,0.3252806883763539,0.22148541114058357,0.8404800338874386,0.609375,0.7171875000000001
2,0.4004629464350504,0.4,0.4923986709870998,0.6264152633513022,0.9124668435013262,0.7144102634554619,0.565625,0.6171875
4,0.5719004898843512,0.1,0.10731947369459438,0.15902866912320765,0.027851458885941646,0.906335313036096,0.6406249999999999,0.7328125000000001
4,0.5719004898843512,0.2,0.20813694388617354,0.3037518005679607,0.11007957559681697,0.838388268323699,0.6343749999999999,0.6921875
4,0.5719004898843512,0.4,0.4117266758302289,0.5885052744318497,0.8010610079575596,0.7092725472997488,0.59375,0.6125
8,0.7276545923635817,0.1,0.08734393142618324,0.14858781466445858,0.027851458885941646,0.9018836237719325,0.678125,0.7234375
8,0.7276545923635817,0.2,0.17065997694955404,0.27575590182346643,0.05968169761273209,0.8346565110028497,0.6499999999999999,0.6859375
8,0.7276545923635817,0.4,0.32749265596491073,0.5195604233340285,0.5928381962864722,0.7065064234661707,0.625,0.6203124999999999
20,0.8697833982816829,0.1,0.06686034240664118,0.12774290268940372,0.026525198938992044,0.8958727424519428,0.65625,0.7046874999999999
20,0.8697833982816829,0.2,0.13053999958637497,0.22995824551636246,0.033156498673740056,0.8296909620580453,0.6499999999999999,0.6734375
20,0.8697833982816829,0.4,0.2590708026266024,0.42081909530211803,0.3129973474801061,0.7019252785498148,0.625,0.5843750000000001
100,0.9709281501846061,0.1,0.05260947292139484,0.08948172151704346,0.025198938992042442,0.8905463468847862,0.659375,0.690625
100,0.9709281501846061,0.2,0.10317101481243474,0.15462791633549194,0.027851458885941646,0.8232520845001954,0.646875,0.653125
100,0.9709281501846061,0.4,0.20376343201150027,0.27032429326000246,0.06896551724137931,0.6954619629351735,0.6031249999999999,0.6015625
ballistic,1.0,0.1,0.04710889469664781,0.06717591461395317,0.025198938992042442,0.8872993877716366,0.646875,0.690625
ballistic,1.0,0.2,0.09159191816720469,0.10913106021409812,0.025198938992042442,0.8225341340209453,0.65625,0.6796875
ballistic,1.0,0.4,0.1806800235700794,0.2053990276713435,0.03183023872679045,0.6977413070969878,0.6,0.5578125
